category,fabric,product_name,color,color_hex,limited,reverse_side,image_filename
Tablecloths and Overlays,Shantung,Shantung Charcoal Reverse,Charcoal,#3A3F44,,yes,shantungcharcoal2.jpg
Tablecloths and Overlays,Shantung,Shantung Coral,Coral,#E8836B,,,shantungblushrosev3.jpg
Tablecloths and Overlays,Shantung,Shantung Coral Reverse,Coral,#E8836B,,yes,shantungblushrose2.jpg
Tablecloths and Overlays,Shantung,Shantung Cornsilk,Cornsilk,#F0DFA0,,,shantungcornmilkv3.jpg
Tablecloths and Overlays,Shantung,Shantung Cornsilk Reverse,Cornsilk,#F0DFA0,,yes,shantungcornsilk2.jpg
Tablecloths and Overlays,Shantung,Shantung Emerald,Emerald,#1F8B5C,,,shantungemeraldv3.jpg
Tablecloths and Overlays,Shantung,Shantung Emerald Reverse,Emerald,#1F8B5C,,yes,shantungemerald2.jpg
Tablecloths and Overlays,Shantung,Shantung Espresso,Espresso,#4A3728,,,shantungexpresso.jpg
Tablecloths and Overlays,Shantung,Shantung Espresso Reverse,Espresso,#4A3728,,yes,shantungespresso2.jpg
Tablecloths and Overlays,Shantung,Shantung Fern,Fern,#5E8A4C,,,shantungfern.jpg
Tablecloths and Overlays,Shantung,Shantung Fern Reverse,Fern,#5E8A4C,,yes,shantungfern2.jpg
Tablecloths and Overlays,Shantung,Shantung Gold,Gold,#C9A227,,,shantunggold.jpg
Tablecloths and Overlays,Shantung,Shantung Gold Reverse,Gold,#C9A227,,yes,shantunggold2.jpg
Tablecloths and Overlays,Shantung,Shantung Ivory,Ivory,#F1EEE3,,,shantungivory.jpg
Tablecloths and Overlays,Shantung,Shantung Ivory Reverse,Ivory,#F1EEE3,,yes,shantungivory2.jpg
Tablecloths and Overlays,Shantung,Shantung Light Pink,Light Pink,#B6A899,,,shantunglightping.jpg
Tablecloths and Overlays,Shantung,Shantung Light Pink Reverse,Light Pink,#B6A899,,yes,shantunglightpink2.jpg
Tablecloths and Overlays,Shantung,Shantung Lilac,Lilac,#C6A6D6,,,shantunglilacv3.jpg
Tablecloths and Overlays,Shantung,Shantung Lilac Reverse,Lilac,#C6A6D6,,yes,shantunglilac2.jpg
Tablecloths and Overlays,Shantung,Shantung Lime,Lime,#B7D14A,,,shantunglimev3.jpg
Tablecloths and Overlays,Shantung,Shantung Lime Reverse,Lime,#B7D14A,,yes,shantunglime2.jpg
Tablecloths and Overlays,Shantung,Shantung Oatmeal,Oatmeal,#C9BFA5,,,shantungoatmeal.jpg
Tablecloths and Overlays,Shantung,Shantung Oatmeal Reverse,Oatmeal,#C9BFA5,,yes,shantungoatmeal2.jpg
Tablecloths and Overlays,Shantung,Shantung Plum,Plum,#6B3A5B,,,shantungplum.jpg
Tablecloths and Overlays,Shantung,Shantung Plum Reverse,Plum,#6B3A5B,,yes,shantungplum2.jpg
Tablecloths and Overlays,Shantung,Shantung Red,Red,#B12A2A,,,shantungred.jpg
Tablecloths and Overlays,Shantung,Shantung Red Reverse,Red,#B12A2A,,yes,shantungred2.jpg
Tablecloths and Overlays,Shantung,Shantung Royal,Royal,#2E4EA6,,,shantungroyal.jpg
Tablecloths and Overlays,Shantung,Shantung Royal Reverse,Royal,#2E4EA6,,yes,shantungroyal2.jpg
Tablecloths and Overlays,Shantung,Shantung Silver,Silver,#B9BDC1,,,shantungsilver.jpg
Tablecloths and Overlays,Shantung,Shantung Silver Reverse,Silver,#B9BDC1,,yes,shantungsilver2.jpg
Tablecloths and Overlays,Shantung,Shantung Slate Blue,Slate Blue,#5B7A9D,,,shantungslateblue.jpg
Tablecloths and Overlays,Shantung,Shantung Slate Reversed,Slate,#B6A899,,yes,shantungslateblue2.jpg
Tablecloths and Overlays,Shantung,Shantung Tangerine,Tangerine,#E8792E,,,shantungtangerinev3.jpg
Tablecloths and Overlays,Shantung,Shantung Tangerine Reverse,Tangerine,#E8792E,,yes,shantungtangerine2.jpg
Tablecloths and Overlays,Shantung,Shantung Teal,Teal,#1B7B7A,,,shantungteal.jpg
Tablecloths and Overlays,Shantung,Shantung Teal Reverse,Teal,#1B7B7A,,yes,shantungteal2.jpg
Tablecloths and Overlays,Shantung,Shantung Turquoise,Turquoise,#2FB6B0,,,shantungturquoise.jpg
Tablecloths and Overlays,Shantung,Shantung Turquoise Reverse,Turquoise,#2FB6B0,,yes,shantungturquoise2.jpg
Tablecloths and Overlays,Shantung,Shantung Watermelon,Watermelon,#E85B6E,,,shantungwatermelonv3.jpg
Tablecloths and Overlays,Shantung,Shantung Watermelon Reverse,Watermelon,#E85B6E,,yes,shantungwatermelon2.jpg
Tablecloths and Overlays,Shantung,Shantung Wedgewood,Wedgewood,#5B7EA0,,,shantungwedgewood.jpg
Tablecloths and Overlays,Shantung,Shantung Wedgewood Reverse,Wedgewood,#5B7EA0,,yes,shantungwedgewood2.jpg
Tablecloths and Overlays,Shantung,Shantung White,White,#FAFAFA,,,shantungwhite.jpg
Tablecloths and Overlays,Shantung,Shantung White Reverse,White,#FAFAFA,,yes,shantungwhite2.jpg
Tablecloths and Overlays,Shantung,Shantung Windsor Blue,Windsor Blue,#2E5A8C,,,shantungwindsorblue.jpg
Tablecloths and Overlays,Shantung,Shantung Windsor Blue Reverse,Windsor Blue,#2E5A8C,,yes,shantungwindsorblue2.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Apple,Apple,#7CB342,,,mattelamourapple.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Black,Black,#20232A,,,mattelamourblack.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Blossom Pink,Blossom Pink,#E8B7C4,,,mattelamourblossompinkv3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Burgundy,Burgundy,#6B2737,,,mattelamourburgandyv3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Camel,Camel,#C19A6B,,,mattelamourcamel.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Citron,Citron,#9FB03A,,,mattelamourcitron.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Copper,Copper,#B98A3E,,,mattelamourcopper.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Dark Brown,Dark Brown,#3E2A1C,,,mattelamourdarkbrown2.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Eggplant,Eggplant,#5B3358,,,mattelamoureggplant.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Emerald,Emerald,#1F8B5C,,,mattelamouremeraldv3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Gold,Gold,#C9A227,,,mattelamourgold.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Hot Pink,Hot Pink,#E23E8C,,,mattelamourhotpink.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Hunter,Hunter,#3B5C3B,,,mattelamourhunter.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Ivory,Ivory,#F1EEE3,,,mattelamourivory.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Lemon,Lemon,#F2E14C,,,mattelamourlemon.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Light Pink,Light Pink,#B6A899,,,mattelamourlightpinkv3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Lilac,Lilac,#C6A6D6,,,mattelamourlilac.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Lime,Lime,#B7D14A,,,mattelamourlimev3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Navy,Navy,#1F2E4A,,,mattelamournavy.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Orange,Orange,#E8752E,,,mattelamourorange.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Palest Blue,Palest Blue,#D6E6EF,,,palestblue2.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Periwinkle,Periwinkle,#8B9DDB,,,mattelamourperiwinkle.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Purple,Purple,#6C4A9C,,,mattelamourpurple.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Red,Red,#B12A2A,,,mattelamourred.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Royal,Royal,#2E4EA6,,,mattelamourroyal.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Sage,Sage,#8A9A7B,,,mattelamoursagev3.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Seamist,Seamist,#8FC1B5,,,mattelamourseamist.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Silver,Silver,#B9BDC1,,,mattelamoursilver.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Slate Blue,Slate Blue,#5B7A9D,,,slateblue2.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Teal,Teal,#1B7B7A,,,mattelamourteal.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Tiffany,Tiffany,#8ED1C4,,,mattelamourtiffany.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour Turquoise,Turquoise,#2FB6B0,,,mattelamourturquoise.jpg
Tablecloths and Overlays,Matte Lamour,Matte Lamour White,White,#FAFAFA,,,mattelamourwhite.jpg
Tablecloths and Overlays,Serenity,Serenity Coastal,Coastal,#4E8CA0,,,coastalserenty2.jpg
Tablecloths and Overlays,Serenity,Serenity Desert Rose,Desert Rose,#C98A93,,,serenitydesertrose.jpg
Tablecloths and Overlays,Serenity,Serenity Driftwood,Driftwood,#B8A585,,,serenitydriftwood.jpg
Tablecloths and Overlays,Serenity,Serenity Willow,Willow,#8FA07A,,,serenitywillow.jpg
Tablecloths and Overlays,Bengaline,Bengaline Brown (Limited),Brown,#6B4A34,yes,,BrownBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Buttercup (Limited),Buttercup,#F2D14C,yes,,CornsilkBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Cerise Pink (Limited),Cerise Pink,#D6336C,yes,,CeriseBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Charcoal (Limited),Charcoal,#3A3F44,yes,,charcoalBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Ivory Cream (Limited),Ivory Cream,#F5EFD9,yes,,IvoryCreamBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Jet Black (Limited),Jet Black,#0F1113,yes,,BlackBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Lavendar Steel (Limited),Lavendar Steel,#A79BC4,yes,,LavenderBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Mango (Limited),Mango,#F2A33C,yes,,MangoBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Pea Green (Limited),Pea Green,#8AA83E,yes,,PeaGreenBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Red (Limited),Red,#B12A2A,yes,,RedBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Silverado (Limited),Silverado,#C7C7C7,yes,,SilveradoBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Spiced Cider (Limited),Spiced Cider,#8A4A2E,yes,,CiderBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Taupe (Limited),Taupe,#B6A08A,yes,,TaupeBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Ultra Burgundy (Limited),Ultra Burgundy,#5C1F2E,yes,,BurgundyBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Ultra White (Limited),Ultra White,#FFFFFF,yes,,WhiteBengaline.jpg
Tablecloths and Overlays,Bengaline,Bengaline Victorian Gold (Limited),Victorian Gold,#B8933E,yes,,VictorianGoldBengaline.jpg
Tablecloths and Overlays,Soiree,Soiree Black,Black,#20232A,,,soireeblack.jpg
Tablecloths and Overlays,Soiree,Soiree Blush,Blush,#D9AFAE,,,soireeblush.jpg
Tablecloths and Overlays,Soiree,Soiree Celery,Celery,#B7C77A,,,soireecelery.jpg
Tablecloths and Overlays,Soiree,Soiree Champagne,Champagne,#E9D9B0,,,soireechampagne.jpg
Tablecloths and Overlays,Soiree,Soiree Eggplant,Eggplant,#5B3358,,,soireeeggplant.jpg
Tablecloths and Overlays,Soiree,Soiree Gold,Gold,#C9A227,,,soireegold.jpg
Tablecloths and Overlays,Soiree,Soiree Ivory,Ivory,#F1EEE3,,,soireeivory.jpg
Tablecloths and Overlays,Soiree,Soiree Papaya,Papaya,#E8945E,,,soireepapaya.jpg
Tablecloths and Overlays,Soiree,Soiree Silver,Silver,#B9BDC1,,,soireesilver.jpg
Tablecloths and Overlays,Soiree,Soiree White,White,#FAFAFA,,,soireewhite.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Black (Limited),Black,#20232A,yes,,BlackCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Burgundy (Limited),Burgundy,#6B2737,yes,,BurgundyCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Champagne Gold (Limited),Champagne Gold,#D4AF6A,yes,,ChampagneBengaline.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Copper (Limited),Copper,#B98A3E,yes,,CopperCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Ivory (Limited),Ivory,#F1EEE3,yes,,IvoryCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Paprika (Limited),Paprika,#A8462E,yes,,PaprikaCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Red (Limited),Red,#B12A2A,yes,,RedCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Royal (Limited),Royal,#2E4EA6,yes,,RoyalCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Silver (Limited),Silver,#B9BDC1,yes,,SilverCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Taupe (Limited),Taupe,#B6A08A,yes,,TaupeCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush Violet Green (Limited),Violet Green,#5A7A4A,yes,,GreenCrush.jpg
Tablecloths and Overlays,Bichon Crush,Bichon Crush White (Limited),White,#FAFAFA,yes,,WhiteCrush.jpg
Tablecloths and Overlays,Jute,Jute Apricot,Apricot,#B6A899,,,juteapricot.jpg
Tablecloths and Overlays,Jute,Jute Beige,Beige,#D9C7A3,,,jutebeige.jpg
Tablecloths and Overlays,Jute,Jute Black,Black,#20232A,,,juteblack.jpg
Tablecloths and Overlays,Jute,Jute Burlap,Burlap,#B8985E,,,juteburlap.jpg
Tablecloths and Overlays,Jute,Jute Crimson,Crimson,#8B1E2E,,,jutecrimson.jpg
Tablecloths and Overlays,Jute,Jute Denim,Denim,#3A5B7A,,,jutedenim.jpg
Tablecloths and Overlays,Jute,Jute Dove,Dove,#C9C6C0,,,jutedove.jpg
Tablecloths and Overlays,Jute,Jute English Rose,English Rose,#C77A8B,,,juteenglishrose.jpg
Tablecloths and Overlays,Jute,Jute Ivory,Ivory,#F1EEE3,,,juteivory.jpg
Tablecloths and Overlays,Jute,Jute Lime,Lime,#B7D14A,,,jutelime.jpg
Tablecloths and Overlays,Jute,Jute Lipstick,Lipstick,#B8244F,,,jutelipstickpink.jpg
Tablecloths and Overlays,Jute,Jute Peach,Peach,#F0B08A,,,jutepeach.jpg
Tablecloths and Overlays,Jute,Jute Plum,Plum,#6B3A5B,,,juteplum.jpg
Tablecloths and Overlays,Jute,Jute Poppy,Poppy,#D6432E,,,jutepoppy.jpg
Tablecloths and Overlays,Jute,Jute Stone,Stone,#A8A093,,,jutestone.jpg
Tablecloths and Overlays,Jute,Jute White,White,#FAFAFA,,,jutewhite.jpg
Tablecloths and Overlays,Specialty,Abstract Geometric,Abstract Geometric,#B6A899,,,artsyabstract.jpg
Tablecloths and Overlays,Specialty,Amalfi Hunter,Amalfi Hunter,#B6A899,,,amalfihunter.jpg
Tablecloths and Overlays,Specialty,Amalfi Sapphire,Amalfi Sapphire,#B6A899,,,amalfisapphire.jpg
Tablecloths and Overlays,Specialty,Amber Matrix,Amber Matrix,#B6A899,,,amber.jpg
Tablecloths and Overlays,Specialty,Americana,Americana,#B6A899,,,americana.jpg
Tablecloths and Overlays,Specialty,Amondine Black on Silver,Amondine Black on Silver,#B6A899,,,tablecloth1.jpg
Tablecloths and Overlays,Specialty,Amondine Black on White,Amondine Black on White,#B6A899,,,amandinewhite.jpg
Tablecloths and Overlays,Specialty,Apple Cabana Stripe,Apple Cabana Stripe,#B6A899,,,cabanastripeapple.jpg
Tablecloths and Overlays,Specialty,Apple Gingham Mini Check,Apple Gingham Mini Check,#B6A899,,,appleminiginghamcheck.jpg
Tablecloths and Overlays,Specialty,Aurora Ivory,Aurora Ivory,#B6A899,,,auroraivory.jpg
Tablecloths and Overlays,Specialty,Aurora White,Aurora White,#B6A899,,,aurorawhite.jpg
Tablecloths and Overlays,Specialty,Bandana,Bandana,#B6A899,,,artsybandana.jpg
Tablecloths and Overlays,Specialty,Bark Citron,Bark Citron,#B6A899,,,barkcitron.jpg
Tablecloths and Overlays,Specialty,Bark Citron Reverse,Bark Citron,#B6A899,,yes,swatch13.jpg
Tablecloths and Overlays,Specialty,Bark Midnight,Bark Midnight,#B6A899,,,barkmidnight.jpg
Tablecloths and Overlays,Specialty,Bark Midnight Reverse,Bark Midnight,#B6A899,,yes,swatch15.jpg
Tablecloths and Overlays,Specialty,Bark Slate Blue,Bark Slate Blue,#B6A899,,,barkslateblue.jpg
Tablecloths and Overlays,Specialty,Bark Slate Blue Reverse,Bark Slate Blue,#B6A899,,yes,swatch14.jpg
Tablecloths and Overlays,Specialty,Beige Sanibel,Beige Sanibel,#B6A899,,,sanibelbeige2.jpg
Tablecloths and Overlays,Specialty,Black Circle Taffeta,Black Circle Taffeta,#B6A899,,,tablecloth25.jpg
Tablecloths and Overlays,Specialty,Black Net with Gold Stars,Black Net with Gold Stars,#B6A899,,,tablecloth12.jpg
Tablecloths and Overlays,Specialty,Black Racing Check,Black Racing Check,#B6A899,,,racingcheckblack.jpg
Tablecloths and Overlays,Specialty,Blossom Plaid,Blossom Plaid,#B6A899,,,plaidblossom.jpg
Tablecloths and Overlays,Specialty,Brushstrokes,Brushstrokes,#B6A899,,,specialtybrushstrokes.jpg
Tablecloths and Overlays,Specialty,Buffalo Check Red,Buffalo Check Red,#B6A899,,,buffalocheckredandblack.jpg
Tablecloths and Overlays,Specialty,Buffalo Check Taupe,Buffalo Check Taupe,#B6A899,,,buffalochecktaupeandwhite.jpg
Tablecloths and Overlays,Specialty,Cafe Embroidered Sheer,Cafe Embroidered Sheer,#B6A899,,,CafeEmbroidered.jpg
Tablecloths and Overlays,Specialty,Cairns,Cairns,#B6A899,,,cairns.jpg
Tablecloths and Overlays,Specialty,Cairns Reverse,Cairns,#B6A899,,yes,swatch12.jpg
Tablecloths and Overlays,Specialty,Calypso,Calypso,#B6A899,,,specialtycalypso.jpg
Tablecloths and Overlays,Specialty,Cambric,Cambric,#B6A899,,,cambricblush.jpg
Tablecloths and Overlays,Specialty,Chevron Lime,Chevron Lime,#B6A899,,,tablecloth18.jpg
Tablecloths and Overlays,Specialty,Chevron Navy,Chevron Navy,#B6A899,,,tablecloth17.jpg
Tablecloths and Overlays,Specialty,Chevron Silver,Chevron Silver,#B6A899,,,tablecloth16.jpg
Tablecloths and Overlays,Specialty,Cinderella,Cinderella,#B6A899,,,cinderella.jpg
Tablecloths and Overlays,Specialty,Cirque,Cirque,#B6A899,,,tablecloth24.jpg
Tablecloths and Overlays,Specialty,Concentric Gold,Concentric Gold,#B6A899,,,concentricgold2.jpg
Tablecloths and Overlays,Specialty,Concentric Silver,Concentric Silver,#B6A899,,,concentricsilver2.jpg
Tablecloths and Overlays,Specialty,Concentric White,Concentric White,#B6A899,,,concentricwhite.jpg
Tablecloths and Overlays,Specialty,Cosmopolitan,Cosmopolitan,#B6A899,,,cosmopolitan.jpg
Tablecloths and Overlays,Specialty,Dogwood,Dogwood,#B6A899,,,specialtydogwood.jpg
Tablecloths and Overlays,Specialty,Dolce Biscotti,Dolce Biscotti,#B6A899,,,dolcetaupespeciality.jpg
Tablecloths and Overlays,Specialty,Dolce Vanilla,Dolce Vanilla,#B6A899,,,dolcewhitespeciality.jpg
Tablecloths and Overlays,Specialty,Echo Jade,Echo Jade,#B6A899,,,echojade2.jpg
Tablecloths and Overlays,Specialty,Echo Jade Reverse,Echo Jade,#B6A899,,yes,swatch10.jpg
Tablecloths and Overlays,Specialty,Echo Lumiere,Echo Lumiere,#B6A899,,,echolumiere.jpg
Tablecloths and Overlays,Specialty,Echo Lumiere Reverse,Echo Lumiere,#B6A899,,yes,swatch8.jpg
Tablecloths and Overlays,Specialty,Echo Noir,Echo Noir,#B6A899,,,echonoir.jpg
Tablecloths and Overlays,Specialty,Echo Noir Reverse,Echo Noir,#B6A899,,yes,swatch11.jpg
Tablecloths and Overlays,Specialty,Echo Rouge,Echo Rouge,#B6A899,,,echorouge.jpg
Tablecloths and Overlays,Specialty,Echo Rouge Reverse,Echo Rouge,#B6A899,,yes,swatch9.jpg
